entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2026-05-05 21:00:00,2026-05-07 07:00:00,buy,81627.7935,80215.2035344,0.000184,80255.3312,85666.35,-0.259917,0.01489,-0.274806,-1.82966,34,stop_loss
2026-05-07 07:00:00,2026-05-16 10:00:00,sell,81724.11750000001,77715.58837499999,0.000183,84617.5727,77676.75,0.733561,0.014589,0.718972,4.807405,219,take_profit
2026-05-16 11:00:00,2026-05-23 08:00:00,sell,78531.7145,74679.77122499999,0.000192,79925.4754,74642.45,0.739573,0.014708,0.724865,4.807405,165,take_profit
2026-05-23 11:00:00,2026-05-23 19:00:00,sell,74931.51550000001,76206.588252,0.000202,76168.504,71220.55,-0.257565,0.015265,-0.27283,-1.802502,8,stop_loss
2026-05-23 19:00:00,2026-05-29 12:00:00,sell,76135.913,72401.48265,0.000199,78986.3224,72365.3,0.743152,0.014779,0.728372,4.807405,137,take_profit
2026-05-29 12:00:00,2026-06-02 14:00:00,sell,72263.85,68719.3425,0.000211,74711.2757,68685.0,0.747891,0.014874,0.733017,4.807405,98,take_profit
2026-06-02 16:00:00,2026-06-03 18:00:00,sell,68501.732,64749.272356949994,0.000224,70445.5431,64716.9139,0.840551,0.014924,0.825627,5.380644,26,take_profit
2026-06-03 18:00:00,2026-06-05 06:00:00,sell,65989.9885,61908.680270699995,0.000234,68095.6293,61877.7414,0.955026,0.014964,0.940062,6.087831,36,take_profit
2026-06-05 06:00:00,2026-06-08 02:00:00,sell,62153.9075,64680.7766262,0.000251,64648.4524,57258.0952,-0.634244,0.015918,-0.650162,-4.167536,68,stop_loss
2026-06-08 02:00:00,2026-06-09 16:00:00,buy,64032.0,61158.803900700004,0.000243,61189.3986,67314.6855,-0.698187,0.015211,-0.713397,-4.584882,38,stop_loss
2026-06-09 19:00:00,2026-06-11 11:00:00,sell,62231.868500000004,64688.011441799994,0.000248,64655.6836,58733.8851,-0.609123,0.015738,-0.624862,-4.048734,40,stop_loss
2026-06-11 13:00:00,2026-06-15 12:00:00,buy,64430.19899999999,67584.09105,0.000238,62851.3982,67617.9,0.750626,0.01571,0.734917,4.792605,95,take_profit
2026-06-15 17:00:00,2026-06-17 08:00:00,buy,66967.46699999999,64820.30773295001,0.000231,64852.7341,71096.5318,-0.495994,0.015221,-0.511215,-3.304669,39,stop_loss
2026-06-17 12:00:00,2026-06-17 16:00:00,sell,64977.495,66335.43284085,0.000236,66302.2817,61759.5,-0.320473,0.015495,-0.335968,-2.190904,4,stop_loss
2026-06-17 16:00:00,2026-06-18 15:00:00,sell,65798.0845,62570.719724999995,0.000232,66884.296,62539.45,0.748749,0.014891,0.733858,4.807405,23,take_profit
2026-06-18 19:00:00,2026-06-22 11:00:00,sell,62888.54,65205.050231999994,0.000245,65172.464,59774.0,-0.567545,0.015691,-0.583236,-3.785359,88,stop_loss
2026-06-22 14:00:00,2026-06-22 20:00:00,buy,64972.469999999994,63058.13276120001,0.000236,63089.6776,68187.0,-0.451784,0.015108,-0.466891,-3.044909,6,stop_loss
2026-06-22 20:00:00,2026-06-24 17:00:00,sell,62926.521,59733.1672578,0.000242,64585.3422,59703.3156,0.772792,0.014842,0.75795,4.977272,45,take_profit
2026-06-24 20:00:00,2026-06-26 13:00:00,sell,61089.44,57774.00486615,0.000251,62807.4339,57745.1323,0.832174,0.014917,0.817257,5.329896,41,take_profit
2026-06-26 13:00:00,2026-07-01 15:00:00,sell,58498.736000000004,60697.65155895,0.000265,60667.3179,55110.4274,-0.582713,0.015794,-0.598506,-3.860791,122,stop_loss
2026-07-01 16:00:00,2026-07-02 14:00:00,buy,60048.009,63101.87697815001,0.000257,58016.3417,63133.4437,0.784844,0.015825,0.769019,4.983168,22,take_profit
2026-07-02 14:00:00,2026-07-15 15:00:00,buy,61829.8995,65420.370251600005,0.000251,59929.9427,65453.0968,0.901208,0.01597,0.885238,5.70411,313,take_profit
2026-07-16 08:00:00,2026-07-20 15:00:00,sell,64339.814000000006,65434.65297599999,0.000243,65401.952,61153.4,-0.266046,0.015768,-0.281813,-1.802502,103,stop_loss
2026-07-20 15:00:00,2026-07-26 01:00:00,buy,65561.76449999999,64481.743,0.000238,63632.6318,68805.45,-0.257045,0.015475,-0.27252,-1.746511,130,end_of_data
