entry_time,exit_time,side,entry_price,exit_price,qty,stop_loss,take_profit,gross_pnl,fees,net_pnl,pnl_pct,bars_held,exit_reason
2025-09-08 16:00:00,2025-09-13 16:00:00,buy,112079.0115,115186.649864,0.01339,108662.31,119864.61,41.611278,1.521544,40.089734,2.671335,30,trailing_stop
2025-09-13 16:00:00,2025-09-25 16:00:00,buy,115855.89899999999,110542.43303405,0.013006,110597.7319,123903.86,-69.106938,1.472268,-70.579207,-4.683978,72,stop_loss
2025-09-26 20:00:00,2025-09-29 16:00:00,sell,109654.14550000001,114319.00423665,0.013631,114261.8733,102029.37,-63.586689,1.526489,-65.113178,-4.356283,17,stop_loss
2025-09-30 08:00:00,2025-10-02 16:00:00,buy,113091.51749999999,120886.97627500001,0.013143,108916.4256,120947.45,102.455715,1.53759,100.918125,6.789607,14,take_profit
2025-10-03 04:00:00,2025-10-05 08:00:00,buy,119736.8385,123166.68585000001,0.01254,116086.69,128054.39,43.010286,1.523005,41.487281,2.763056,13,trailing_stop
2025-10-05 08:00:00,2025-10-10 12:00:00,buy,123503.72099999999,119678.87063,0.012208,119738.74,132082.94,-46.693773,1.484387,-48.17816,-3.195403,31,stop_loss
2025-10-12 04:00:00,2025-10-13 04:00:00,sell,111573.1855,116451.78069194999,0.013436,116393.5839,102099.8321,-65.548805,1.531872,-67.080677,-4.474738,6,stop_loss
2025-10-13 08:00:00,2025-10-14 12:00:00,sell,114578.682,112686.85527,0.012995,123326.4649,105056.4682,24.584288,1.476658,23.107631,1.551941,7,trailing_stop
2025-10-14 12:00:00,2025-10-17 08:00:00,sell,112743.6,106876.083336,0.013238,119360.1637,100624.4834,77.674186,1.453663,76.220523,5.106903,17,trailing_stop
2025-10-17 12:00:00,2025-10-20 20:00:00,sell,106676.63500000001,112082.27663174999,0.014098,112026.2635,96137.4729,-76.208736,1.542032,-77.750767,-5.169849,20,stop_loss
2025-10-24 04:00:00,2025-10-27 08:00:00,buy,113919.93149999999,116056.64265000001,0.013112,106392.9005,126677.6596,28.016557,1.507726,26.50883,1.774688,19,trailing_stop
2025-10-27 08:00:00,2025-10-30 12:00:00,buy,116388.165,107399.06670345001,0.012868,107452.7931,129466.0923,-115.671717,1.439847,-117.111564,-7.819517,19,stop_loss
2025-10-30 20:00:00,2025-11-03 04:00:00,sell,108645.65000000001,107185.91017199999,0.01361,116947.9863,92204.0273,19.867059,1.468734,18.398325,1.244251,20,trailing_stop
2025-11-03 08:00:00,2025-11-04 08:00:00,sell,107424.26100000001,105387.69951600001,0.01379,115008.203,92417.594,28.084183,1.467338,26.616844,1.796759,6,trailing_stop
2025-11-04 08:00:00,2025-11-04 20:00:00,sell,104249.849,101515.876572,0.014248,111325.112,90255.7759,38.953639,1.465875,37.487764,2.523831,3,trailing_stop
2025-11-05 00:00:00,2025-11-13 20:00:00,sell,101751.099,100930.64810399999,0.014653,110050.8382,85304.3235,12.022067,1.484948,10.537119,0.706734,53,trailing_stop
2025-11-14 00:00:00,2025-11-14 08:00:00,sell,100032.95850000001,98916.77367,0.014921,108754.7314,86579.9148,16.654594,1.484264,15.170329,1.016375,2,trailing_stop
2025-11-14 12:00:00,2025-11-15 00:00:00,sell,98269.8405,95635.24172399999,0.015212,105038.2068,84880.5863,40.077517,1.474842,38.602675,2.582325,3,trailing_stop
2025-11-15 00:00:00,2025-11-17 00:00:00,sell,96286.8325,95083.42595399999,0.015585,103256.4772,82492.0457,18.755091,1.491253,17.263838,1.150439,12,trailing_stop
2025-11-17 00:00:00,2025-11-18 08:00:00,sell,95415.2685,91669.255722,0.015755,99188.1264,88012.7473,59.018431,1.473758,57.544673,3.827973,8,trailing_stop
2025-11-18 08:00:00,2025-11-19 20:00:00,sell,91454.25,90137.334144,0.016531,96499.2842,84589.5438,21.769936,1.500945,20.268991,1.340692,9,trailing_stop
2025-11-19 20:00:00,2025-11-21 08:00:00,sell,91542.206,83638.30875525,0.016549,95583.7447,83596.5105,130.801596,1.449531,129.352064,8.538473,9,take_profit
2025-11-21 16:00:00,2025-11-26 16:00:00,sell,84572.6925,90821.72827004999,0.018142,90776.3401,72292.3198,-113.370007,1.591003,-114.96101,-7.492647,30,stop_loss
2025-12-01 20:00:00,2025-12-02 16:00:00,sell,85860.0485,91890.38823299999,0.017669,91844.466,77976.7872,-106.550073,1.570336,-108.120409,-7.126964,5,stop_loss
2025-12-06 00:00:00,2025-12-09 16:00:00,sell,89403.276,94859.64181785,0.016787,94812.2357,83186.64,-91.596013,1.546611,-93.142624,-6.206145,22,stop_loss
2025-12-11 04:00:00,2025-12-16 08:00:00,sell,89706.1245,86769.73918799999,0.016575,95811.5245,81944.0063,48.670587,1.462544,47.208043,3.174975,31,trailing_stop
2025-12-19 08:00:00,2026-01-05 00:00:00,sell,88166.89450000001,92804.03933024999,0.016945,92757.6605,79117.6791,-78.576419,1.533276,-80.109695,-5.362138,100,stop_loss
2026-01-06 04:00:00,2026-01-07 00:00:00,buy,91008.4815,91687.957088,0.0163,86965.0441,98958.9118,11.075452,1.488976,9.586476,0.646234,5,trailing_stop
2026-01-07 00:00:00,2026-01-15 00:00:00,buy,92180.067,94871.67643200001,0.016108,87485.7621,101430.4759,43.356445,1.506515,41.84993,2.818487,48,trailing_stop
2026-01-15 00:00:00,2026-01-20 20:00:00,buy,94790.3715,88493.24394365001,0.015731,88537.5127,101375.01,-99.060114,1.441617,-100.501731,-6.739893,35,stop_loss
2026-01-21 12:00:00,2026-01-26 00:00:00,sell,89755.1,87106.903686,0.016429,95860.2645,83514.0,43.507217,1.452833,42.054384,2.851944,27,trailing_stop
2026-01-26 08:00:00,2026-01-29 20:00:00,sell,86258.849,83025.492,0.017168,92449.7597,79371.8707,55.510273,1.453137,54.057136,3.650309,21,trailing_stop
2026-01-29 20:00:00,2026-01-30 16:00:00,sell,84801.57800000001,83759.55884999999,0.017559,92432.0067,73870.5776,18.296814,1.479883,16.816932,1.129388,5,trailing_stop
2026-01-30 16:00:00,2026-01-31 16:00:00,sell,84165.89600000001,74544.4513989,0.017721,89058.4011,74507.1978,170.50162,1.406253,169.095367,11.33724,6,take_profit
2026-02-01 00:00:00,2026-02-02 04:00:00,sell,79090.435,77392.921122,0.019179,85361.5717,66666.8567,32.556619,1.500597,31.056022,2.047368,7,trailing_stop
2026-02-02 04:00:00,2026-02-03 20:00:00,sell,77644.1585,72292.9284,0.019596,83095.2796,66858.4408,104.862705,1.469084,103.393621,6.795439,10,trailing_stop
2026-02-03 20:00:00,2026-02-05 00:00:00,sell,73624.1695,71584.1742,0.020877,79541.6442,61899.7115,42.588982,1.515757,41.073225,2.672208,7,trailing_stop
2026-02-05 00:00:00,2026-02-05 12:00:00,sell,73101.431,71717.824992,0.02111,78164.859,63084.2819,29.207923,1.528567,27.679356,1.793667,3,trailing_stop
2026-02-06 08:00:00,2026-02-23 04:00:00,sell,66545.7105,65784.539832,0.023252,73475.5089,52785.9822,17.69874,1.538471,16.160269,1.044403,101,trailing_stop
2026-02-23 04:00:00,2026-02-23 20:00:00,sell,66080.943,65069.710596,0.023453,69801.3753,58739.2493,23.716434,1.537938,22.178495,1.431059,4,trailing_stop
2026-02-23 20:00:00,2026-02-24 12:00:00,sell,64474.7465,63946.841442,0.024088,69525.4466,56941.0453,12.716177,1.54671,11.169467,0.719187,4,trailing_stop
2026-02-24 12:00:00,2026-02-25 16:00:00,sell,63794.08700000001,69532.9513011,0.024372,69498.2022,56623.3036,-139.867601,1.624723,-141.492324,-9.100417,7,stop_loss
2026-02-28 00:00:00,2026-02-28 12:00:00,sell,65727.12000000001,63068.99874,0.023332,70537.3467,59942.0442,62.019285,1.502536,60.51675,3.946199,3,trailing_stop
2026-02-28 12:00:00,2026-03-02 00:00:00,sell,63906.031,67666.82580465,0.024139,67633.0093,56547.9814,-90.781826,1.588019,-92.369844,-5.987825,9,stop_loss
2026-03-02 04:00:00,2026-03-02 16:00:00,sell,65911.028,69756.57635775,0.023195,69721.7155,58388.5689,-89.197494,1.573405,-90.770899,-5.937371,3,stop_loss
2026-03-06 20:00:00,2026-03-08 00:00:00,sell,67710.128,66808.183398,0.022377,73256.6766,59094.979,20.182814,1.505058,18.677756,1.232734,7,trailing_stop
2026-03-08 04:00:00,2026-03-10 08:00:00,sell,66557.7045,70251.1552236,0.022807,70216.0472,59340.9056,-84.236531,1.5601,-85.79663,-5.652021,13,stop_loss
2026-03-11 16:00:00,2026-03-13 12:00:00,buy,70362.1635,72022.762604,0.021412,64511.7158,78437.4561,35.556748,1.524373,34.032375,2.258894,11,trailing_stop
2026-03-13 16:00:00,2026-03-16 04:00:00,buy,72758.36099999999,74374.01439000001,0.020777,66693.4119,83049.8415,33.56843,1.528485,32.039946,2.119464,15,trailing_stop
2026-03-16 12:00:00,2026-03-19 12:00:00,buy,75037.5,70445.20627675,0.02021,70480.4465,80594.046,-92.810256,1.470103,-94.280359,-6.216938,18,stop_loss
2026-03-20 04:00:00,2026-03-21 20:00:00,sell,71019.4725,69883.16412,0.021133,75102.447,62960.1059,24.013605,1.488848,22.524757,1.500796,10,trailing_stop
2026-03-22 08:00:00,2026-03-27 20:00:00,sell,67966.0,66788.945784,0.022132,73304.1501,59277.9982,26.050564,1.491198,24.559366,1.632694,33,trailing_stop
2026-03-27 20:00:00,2026-04-01 12:00:00,sell,66681.6425,69613.2398253,0.022614,69578.4506,60988.0987,-66.295142,1.541086,-67.836228,-4.498607,28,stop_loss
2026-04-04 20:00:00,2026-04-05 20:00:00,sell,67544.21100000001,69640.14266999999,0.022175,69605.34,62847.54,-46.477285,1.521032,-47.998316,-3.204603,6,stop_loss
2026-04-08 00:00:00,2026-04-11 00:00:00,buy,71552.7585,72514.540592,0.020853,66525.9505,77264.3262,20.056042,1.502118,18.553924,1.243486,18,trailing_stop
2026-04-11 04:00:00,2026-04-14 00:00:00,buy,72958.461,75050.456,0.020489,69438.181,79386.2537,42.862886,1.516277,41.346608,2.765945,17,trailing_stop
2026-04-14 00:00:00,2026-04-14 16:00:00,buy,74869.416,76212.750562,0.020049,70925.4814,80798.9143,26.932515,1.514523,25.417991,1.69334,4,trailing_stop
2026-04-14 16:00:00,2026-04-18 08:00:00,buy,74422.19249999999,77308.882222,0.020221,70037.7876,82294.4986,58.371753,1.534077,56.837676,3.776863,22,trailing_stop
